pid,BRAND
77160,BRAND_0
77189,BRAND_0
77210,BRAND_0
77339,BRAND_0
77380,BRAND_0
77381,BRAND_0
77390,BRAND_0
77396,BRAND_0
77415,BRAND_0
77419,BRAND_0
77421,BRAND_0
77564,BRAND_0
77655,BRAND_0
77686,BRAND_0
77688,BRAND_0
77702,BRAND_0
77718,BRAND_0
77721,BRAND_0
77725,BRAND_0
77806,BRAND_0
77829,BRAND_0
77852,BRAND_0
77960,BRAND_0
77983,BRAND_0
78075,BRAND_0
78099,BRAND_0
78118,BRAND_0
78128,BRAND_0
78163,BRAND_0
78179,BRAND_0
78181,BRAND_0
78219,BRAND_0
78221,BRAND_0
78236,BRAND_0
78292,BRAND_0
78363,BRAND_0
78425,BRAND_0
78483,BRAND_0
78513,BRAND_0
78564,BRAND_0
78637,BRAND_0
78654,BRAND_0
78682,BRAND_0
78707,BRAND_0
78724,BRAND_0
78752,BRAND_0
78794,BRAND_0
78814,BRAND_0
78871,BRAND_0
78889,BRAND_0
78896,BRAND_0
78927,BRAND_0
78958,BRAND_0
78966,BRAND_0
78979,BRAND_0
78989,BRAND_0
79005,BRAND_0
79017,BRAND_0
79027,BRAND_0
79038,BRAND_0
79050,BRAND_0
79139,BRAND_0
79156,BRAND_0
79170,BRAND_0
79571,BRAND_0
79573,BRAND_0
79645,BRAND_0
79698,BRAND_0
79715,BRAND_0
79719,BRAND_0
79741,BRAND_0
79857,BRAND_0
79968,BRAND_0
80007,BRAND_0
80021,BRAND_0
80212,BRAND_0
80326,BRAND_0
80332,BRAND_0
80342,BRAND_0
80456,BRAND_0
80490,BRAND_0
80497,BRAND_0
80620,BRAND_0
80678,BRAND_0
80697,BRAND_0
80719,BRAND_0
80738,BRAND_0
80740,BRAND_0
80772,BRAND_0
80862,BRAND_0
80863,BRAND_0
80883,BRAND_0
80962,BRAND_0
80969,BRAND_0
80993,BRAND_0
81014,BRAND_0
81015,BRAND_0
81047,BRAND_0
81076,BRAND_0
81163,BRAND_0
81170,BRAND_0
81237,BRAND_0
81239,BRAND_0
81312,BRAND_0
81339,BRAND_0
81359,BRAND_0
81397,BRAND_0
81398,BRAND_0
81409,BRAND_0
81446,BRAND_0
81530,BRAND_0
81566,BRAND_0
81590,BRAND_0
81631,BRAND_0
81663,BRAND_0
81666,BRAND_0
81728,BRAND_0
81730,BRAND_0
81734,BRAND_0
81753,BRAND_0
81754,BRAND_0
81767,BRAND_0
81857,BRAND_0
81877,BRAND_0
81880,BRAND_0
81893,BRAND_0
81922,BRAND_0
81931,BRAND_0
82023,BRAND_0
82170,BRAND_0
82176,BRAND_0
82183,BRAND_0
82193,BRAND_0
82194,BRAND_0
82211,BRAND_0
82248,BRAND_0
82635,BRAND_0
82671,BRAND_0
82672,BRAND_0
82700,BRAND_0
82705,BRAND_0
82707,BRAND_0
82708,BRAND_0
82717,BRAND_0
82724,BRAND_0
82727,BRAND_0
82733,BRAND_0
82738,BRAND_0
82796,BRAND_0
82797,BRAND_0
82799,BRAND_0
82852,BRAND_0
82863,BRAND_0
82899,BRAND_0
82931,BRAND_0
82935,BRAND_0
82980,BRAND_0
82989,BRAND_0
83248,BRAND_0
83257,BRAND_0
83277,BRAND_0
83279,BRAND_0
83304,BRAND_0
83378,BRAND_0
83474,BRAND_0
83491,BRAND_0
83566,BRAND_0
83570,BRAND_0
83585,BRAND_0
83656,BRAND_0
83667,BRAND_0
83707,BRAND_0
83715,BRAND_0
83781,BRAND_0
83786,BRAND_0
83831,BRAND_0
83854,BRAND_0
84006,BRAND_0
84007,BRAND_0
84008,BRAND_0
84057,BRAND_0
84072,BRAND_0
84107,BRAND_0
84165,BRAND_0
84422,BRAND_0
84499,BRAND_0
84546,BRAND_0
84558,BRAND_0
84610,BRAND_0
84692,BRAND_0
84717,BRAND_0
84780,BRAND_0
84782,BRAND_0
84792,BRAND_0
84797,BRAND_0
84807,BRAND_0
84814,BRAND_0
84830,BRAND_0
84839,BRAND_0
84850,BRAND_0
84855,BRAND_0
84941,BRAND_0
84942,BRAND_0
84964,BRAND_0
84967,BRAND_0
84969,BRAND_0
84979,BRAND_0
85030,BRAND_0
85087,BRAND_0
85129,BRAND_0
85130,BRAND_0
85145,BRAND_0
85173,BRAND_0
85254,BRAND_0
85338,BRAND_0
85409,BRAND_0
85438,BRAND_0
85471,BRAND_0
85491,BRAND_0
85511,BRAND_0
85624,BRAND_0
85638,BRAND_0
85645,BRAND_0
