pid,DTYPE
89367,DEVICE_TYPE_107
89368,DEVICE_TYPE_35
89369,DEVICE_TYPE_109
89370,DEVICE_TYPE_109
89371,DEVICE_TYPE_35
89372,DEVICE_TYPE_159
89373,DEVICE_TYPE_35
89374,DEVICE_TYPE_109
89375,DEVICE_TYPE_103
89376,DEVICE_TYPE_156
89377,DEVICE_TYPE_111
89378,DEVICE_TYPE_35
89378,DEVICE_TYPE_88
89379,DEVICE_TYPE_156
89380,DEVICE_TYPE_156
89381,DEVICE_TYPE_93
89382,DEVICE_TYPE_35
89382,DEVICE_TYPE_135
89383,DEVICE_TYPE_156
89384,DEVICE_TYPE_156
89384,DEVICE_TYPE_88
89385,DEVICE_TYPE_135
89386,DEVICE_TYPE_108
89387,DEVICE_TYPE_135
89388,DEVICE_TYPE_159
89389,DEVICE_TYPE_135
89390,DEVICE_TYPE_35
89390,DEVICE_TYPE_53
89391,DEVICE_TYPE_156
89391,DEVICE_TYPE_35
89391,DEVICE_TYPE_88
89392,DEVICE_TYPE_147
89393,DEVICE_TYPE_108
89394,DEVICE_TYPE_27
89395,DEVICE_TYPE_34
89395,DEVICE_TYPE_135
89396,DEVICE_TYPE_99
89397,DEVICE_TYPE_23
89398,DEVICE_TYPE_99
89399,DEVICE_TYPE_35
89400,DEVICE_TYPE_27
89401,DEVICE_TYPE_35
89401,DEVICE_TYPE_53
89402,DEVICE_TYPE_35
89403,DEVICE_TYPE_110
89404,DEVICE_TYPE_111
89405,DEVICE_TYPE_27
89406,DEVICE_TYPE_146
89407,DEVICE_TYPE_99
89407,DEVICE_TYPE_88
89408,DEVICE_TYPE_117
89409,DEVICE_TYPE_88
89409,DEVICE_TYPE_135
89410,DEVICE_TYPE_35
89411,DEVICE_TYPE_109
89412,DEVICE_TYPE_35
89413,DEVICE_TYPE_108
89414,DEVICE_TYPE_35
89415,DEVICE_TYPE_156
89415,DEVICE_TYPE_88
89416,DEVICE_TYPE_159
89417,DEVICE_TYPE_34
89418,DEVICE_TYPE_34
89419,DEVICE_TYPE_156
89420,DEVICE_TYPE_88
89420,DEVICE_TYPE_135
89421,DEVICE_TYPE_99
89422,DEVICE_TYPE_151
89423,DEVICE_TYPE_109
89424,DEVICE_TYPE_156
89425,DEVICE_TYPE_35
89426,DEVICE_TYPE_93
89427,DEVICE_TYPE_88
89427,DEVICE_TYPE_135
89428,DEVICE_TYPE_99
89429,DEVICE_TYPE_35
89430,DEVICE_TYPE_35
89431,DEVICE_TYPE_156
89432,DEVICE_TYPE_156
89433,DEVICE_TYPE_27
89434,DEVICE_TYPE_27
89435,DEVICE_TYPE_156
89435,DEVICE_TYPE_111
89436,DEVICE_TYPE_103
89437,DEVICE_TYPE_93
89438,DEVICE_TYPE_121
89438,DEVICE_TYPE_135
89439,DEVICE_TYPE_27
89440,DEVICE_TYPE_34
89441,DEVICE_TYPE_93
89442,DEVICE_TYPE_108
89443,DEVICE_TYPE_27
89443,DEVICE_TYPE_135
89444,DEVICE_TYPE_99
89445,DEVICE_TYPE_99
89445,DEVICE_TYPE_88
89446,DEVICE_TYPE_27
89446,DEVICE_TYPE_111
89446,DEVICE_TYPE_88
89447,DEVICE_TYPE_156
89448,DEVICE_TYPE_156
89449,DEVICE_TYPE_27
89450,DEVICE_TYPE_156
89451,DEVICE_TYPE_156
89452,DEVICE_TYPE_93
89453,DEVICE_TYPE_27
89454,DEVICE_TYPE_123
89455,DEVICE_TYPE_135
89456,DEVICE_TYPE_102
89457,DEVICE_TYPE_135
89458,DEVICE_TYPE_135
89459,DEVICE_TYPE_135
89460,DEVICE_TYPE_99
89461,DEVICE_TYPE_136
89462,DEVICE_TYPE_136
89463,DEVICE_TYPE_135
89464,DEVICE_TYPE_135
89465,DEVICE_TYPE_135
89466,DEVICE_TYPE_135
89467,DEVICE_TYPE_135
89468,DEVICE_TYPE_135
89469,DEVICE_TYPE_135
89470,DEVICE_TYPE_135
89471,DEVICE_TYPE_135
89472,DEVICE_TYPE_135
89473,DEVICE_TYPE_135
89474,DEVICE_TYPE_136
89475,DEVICE_TYPE_135
89476,DEVICE_TYPE_135
89477,DEVICE_TYPE_135
89478,DEVICE_TYPE_135
89479,DEVICE_TYPE_135
89480,DEVICE_TYPE_135
89481,DEVICE_TYPE_135
89482,DEVICE_TYPE_135
89483,DEVICE_TYPE_135
89484,DEVICE_TYPE_135
89485,DEVICE_TYPE_135
89486,DEVICE_TYPE_135
89487,DEVICE_TYPE_135
89488,DEVICE_TYPE_135
89489,DEVICE_TYPE_135
89490,DEVICE_TYPE_135
89491,DEVICE_TYPE_135
89492,DEVICE_TYPE_135
89493,DEVICE_TYPE_135
89494,DEVICE_TYPE_135
89495,DEVICE_TYPE_135
89496,DEVICE_TYPE_136
89497,DEVICE_TYPE_135
89498,DEVICE_TYPE_135
89499,DEVICE_TYPE_135
89500,DEVICE_TYPE_135
89501,DEVICE_TYPE_135
89502,DEVICE_TYPE_135
89503,DEVICE_TYPE_135
89504,DEVICE_TYPE_135
89505,DEVICE_TYPE_135
89506,DEVICE_TYPE_135
89507,DEVICE_TYPE_135
89508,DEVICE_TYPE_135
89509,DEVICE_TYPE_135
89510,DEVICE_TYPE_135
89511,DEVICE_TYPE_135
89512,DEVICE_TYPE_135
89513,DEVICE_TYPE_135
89514,DEVICE_TYPE_136
89515,DEVICE_TYPE_135
89516,DEVICE_TYPE_135
89517,DEVICE_TYPE_135
89518,DEVICE_TYPE_135
89519,DEVICE_TYPE_135
89520,DEVICE_TYPE_135
89521,DEVICE_TYPE_135
89522,DEVICE_TYPE_135
89523,DEVICE_TYPE_135
89524,DEVICE_TYPE_135
89525,DEVICE_TYPE_135
89526,DEVICE_TYPE_135
89527,DEVICE_TYPE_135
89528,DEVICE_TYPE_136
89529,DEVICE_TYPE_135
89530,DEVICE_TYPE_135
89531,DEVICE_TYPE_135
89532,DEVICE_TYPE_135
89533,DEVICE_TYPE_135
89534,DEVICE_TYPE_136
89535,DEVICE_TYPE_135
89536,DEVICE_TYPE_136
89537,DEVICE_TYPE_135
89538,DEVICE_TYPE_135
89539,DEVICE_TYPE_135
89540,DEVICE_TYPE_135
89541,DEVICE_TYPE_135
89542,DEVICE_TYPE_135
89543,DEVICE_TYPE_135
89544,DEVICE_TYPE_135
89545,DEVICE_TYPE_135
89546,DEVICE_TYPE_135
89547,DEVICE_TYPE_135
89548,DEVICE_TYPE_135
89549,DEVICE_TYPE_135
89550,DEVICE_TYPE_135
89551,DEVICE_TYPE_136
89552,DEVICE_TYPE_135
89553,DEVICE_TYPE_135
89554,DEVICE_TYPE_135
89555,DEVICE_TYPE_135
89556,DEVICE_TYPE_135
89557,DEVICE_TYPE_135
89558,DEVICE_TYPE_135
89559,DEVICE_TYPE_135
89560,DEVICE_TYPE_136
89561,DEVICE_TYPE_135
89562,DEVICE_TYPE_135
89563,DEVICE_TYPE_135
89564,DEVICE_TYPE_135
89565,DEVICE_TYPE_135
89566,DEVICE_TYPE_109
89567,DEVICE_TYPE_135
89568,DEVICE_TYPE_135
89569,DEVICE_TYPE_136
89570,DEVICE_TYPE_135
89571,DEVICE_TYPE_136
89572,DEVICE_TYPE_109
89573,DEVICE_TYPE_135
89574,DEVICE_TYPE_135
89575,DEVICE_TYPE_135
89576,DEVICE_TYPE_136
89577,DEVICE_TYPE_135
89578,DEVICE_TYPE_135
89579,DEVICE_TYPE_135
89580,DEVICE_TYPE_135
89581,DEVICE_TYPE_135
89582,DEVICE_TYPE_135
89583,DEVICE_TYPE_135
89584,DEVICE_TYPE_136
89585,DEVICE_TYPE_135
89586,DEVICE_TYPE_135
89587,DEVICE_TYPE_135
89588,DEVICE_TYPE_135
89589,DEVICE_TYPE_135
89590,DEVICE_TYPE_136
89591,DEVICE_TYPE_135
89592,DEVICE_TYPE_135
89593,DEVICE_TYPE_136
89594,DEVICE_TYPE_135
89595,DEVICE_TYPE_136
89596,DEVICE_TYPE_135
89597,DEVICE_TYPE_135
89598,DEVICE_TYPE_135
89599,DEVICE_TYPE_135
89600,DEVICE_TYPE_136
89601,DEVICE_TYPE_135
89602,DEVICE_TYPE_135
89603,DEVICE_TYPE_135
89604,DEVICE_TYPE_135
89605,DEVICE_TYPE_135
89606,DEVICE_TYPE_135
89607,DEVICE_TYPE_135
89608,DEVICE_TYPE_135
89609,DEVICE_TYPE_135
89610,DEVICE_TYPE_135
89611,DEVICE_TYPE_135
89612,DEVICE_TYPE_135
89613,DEVICE_TYPE_136
89614,DEVICE_TYPE_135
89615,DEVICE_TYPE_135
89616,DEVICE_TYPE_135
89617,DEVICE_TYPE_135
89618,DEVICE_TYPE_135
89619,DEVICE_TYPE_135
89620,DEVICE_TYPE_99
89621,DEVICE_TYPE_135
89622,DEVICE_TYPE_135
89623,DEVICE_TYPE_135
89624,DEVICE_TYPE_135
89625,DEVICE_TYPE_135
89626,DEVICE_TYPE_135
89627,DEVICE_TYPE_136
89628,DEVICE_TYPE_135
89629,DEVICE_TYPE_135
89630,DEVICE_TYPE_135
89631,DEVICE_TYPE_136
89632,DEVICE_TYPE_135
89633,DEVICE_TYPE_135
89634,DEVICE_TYPE_136
89635,DEVICE_TYPE_135
89636,DEVICE_TYPE_135
89637,DEVICE_TYPE_109
89638,DEVICE_TYPE_135
89639,DEVICE_TYPE_135
89640,DEVICE_TYPE_135
89641,DEVICE_TYPE_135
89642,DEVICE_TYPE_135
89643,DEVICE_TYPE_135
89644,DEVICE_TYPE_135
89645,DEVICE_TYPE_135
89646,DEVICE_TYPE_135
89647,DEVICE_TYPE_136
89648,DEVICE_TYPE_135
89649,DEVICE_TYPE_135
89650,DEVICE_TYPE_135
89651,DEVICE_TYPE_135
89652,DEVICE_TYPE_135
89653,DEVICE_TYPE_136
89654,DEVICE_TYPE_135
89655,DEVICE_TYPE_135
89656,DEVICE_TYPE_135
89657,DEVICE_TYPE_135
89658,DEVICE_TYPE_135
89659,DEVICE_TYPE_135
89660,DEVICE_TYPE_135
89661,DEVICE_TYPE_135
89662,DEVICE_TYPE_135
89663,DEVICE_TYPE_136
89664,DEVICE_TYPE_135
89665,DEVICE_TYPE_136
89666,DEVICE_TYPE_135
89667,DEVICE_TYPE_136
89668,DEVICE_TYPE_135
89669,DEVICE_TYPE_103
89670,DEVICE_TYPE_136
89671,DEVICE_TYPE_135
89672,DEVICE_TYPE_135
89673,DEVICE_TYPE_135
89674,DEVICE_TYPE_135
89675,DEVICE_TYPE_135
89676,DEVICE_TYPE_135
89677,DEVICE_TYPE_109
89678,DEVICE_TYPE_135
89679,DEVICE_TYPE_135
89680,DEVICE_TYPE_135
89681,DEVICE_TYPE_135
89682,DEVICE_TYPE_136
89683,DEVICE_TYPE_135
89684,DEVICE_TYPE_136
89685,DEVICE_TYPE_135
89686,DEVICE_TYPE_135
89687,DEVICE_TYPE_135
89688,DEVICE_TYPE_135
89689,DEVICE_TYPE_135
89690,DEVICE_TYPE_135
89691,DEVICE_TYPE_135
89692,DEVICE_TYPE_135
89693,DEVICE_TYPE_135
89694,DEVICE_TYPE_135
89695,DEVICE_TYPE_135
89696,DEVICE_TYPE_135
89697,DEVICE_TYPE_135
89698,DEVICE_TYPE_135
89699,DEVICE_TYPE_135
89700,DEVICE_TYPE_135
89701,DEVICE_TYPE_135
89702,DEVICE_TYPE_111
89703,DEVICE_TYPE_135
89704,DEVICE_TYPE_135
89705,DEVICE_TYPE_135
89706,DEVICE_TYPE_135
89707,DEVICE_TYPE_135
89708,DEVICE_TYPE_135
89709,DEVICE_TYPE_135
89710,DEVICE_TYPE_135
89711,DEVICE_TYPE_135
89712,DEVICE_TYPE_135
89713,DEVICE_TYPE_34
89714,DEVICE_TYPE_135
89715,DEVICE_TYPE_135
89715,DEVICE_TYPE_146
89716,DEVICE_TYPE_107
89717,DEVICE_TYPE_35
89717,DEVICE_TYPE_88
89718,DEVICE_TYPE_156
89719,DEVICE_TYPE_27
89720,DEVICE_TYPE_93
89721,DEVICE_TYPE_111
89722,DEVICE_TYPE_98
89723,DEVICE_TYPE_135
89724,DEVICE_TYPE_107
89725,DEVICE_TYPE_35
89726,DEVICE_TYPE_25
89727,DEVICE_TYPE_34
89728,DEVICE_TYPE_92
89729,DEVICE_TYPE_93
89730,DEVICE_TYPE_135
89731,DEVICE_TYPE_35
89731,DEVICE_TYPE_88
89732,DEVICE_TYPE_156
89733,DEVICE_TYPE_156
89734,DEVICE_TYPE_35
89735,DEVICE_TYPE_34
89736,DEVICE_TYPE_109
89737,DEVICE_TYPE_99
89738,DEVICE_TYPE_107
89739,DEVICE_TYPE_103
89740,DEVICE_TYPE_34
89741,DEVICE_TYPE_109
89742,DEVICE_TYPE_156
89742,DEVICE_TYPE_88
89743,DEVICE_TYPE_27
89744,DEVICE_TYPE_156
89745,DEVICE_TYPE_135
89746,DEVICE_TYPE_27
89747,DEVICE_TYPE_109
89748,DEVICE_TYPE_109
89748,DEVICE_TYPE_111
89749,DEVICE_TYPE_156
89749,DEVICE_TYPE_88
89750,DEVICE_TYPE_156
89751,DEVICE_TYPE_8
89751,DEVICE_TYPE_93
89752,DEVICE_TYPE_99
89753,DEVICE_TYPE_95
89754,DEVICE_TYPE_93
89754,DEVICE_TYPE_88
89755,DEVICE_TYPE_159
89755,DEVICE_TYPE_88
89756,DEVICE_TYPE_109
89757,DEVICE_TYPE_135
89758,DEVICE_TYPE_34
89759,DEVICE_TYPE_109
89759,DEVICE_TYPE_135
89760,DEVICE_TYPE_156
89761,DEVICE_TYPE_99
89762,DEVICE_TYPE_35
89762,DEVICE_TYPE_88
89763,DEVICE_TYPE_34
89764,DEVICE_TYPE_135
89765,DEVICE_TYPE_156
89766,DEVICE_TYPE_98
89767,DEVICE_TYPE_34
89768,DEVICE_TYPE_156
89769,DEVICE_TYPE_156
89770,DEVICE_TYPE_35
89770,DEVICE_TYPE_88
89771,DEVICE_TYPE_156
89772,DEVICE_TYPE_146
89773,DEVICE_TYPE_34
89774,DEVICE_TYPE_35
89775,DEVICE_TYPE_135
89776,DEVICE_TYPE_135
89777,DEVICE_TYPE_135
89778,DEVICE_TYPE_135
89779,DEVICE_TYPE_135
89780,DEVICE_TYPE_135
89781,DEVICE_TYPE_135
89782,DEVICE_TYPE_135
89783,DEVICE_TYPE_135
89784,DEVICE_TYPE_135
89785,DEVICE_TYPE_135
89786,DEVICE_TYPE_135
89787,DEVICE_TYPE_135
89788,DEVICE_TYPE_135
89789,DEVICE_TYPE_135
89790,DEVICE_TYPE_135
89791,DEVICE_TYPE_135
89792,DEVICE_TYPE_135
89793,DEVICE_TYPE_135
89794,DEVICE_TYPE_135
89795,DEVICE_TYPE_135
89796,DEVICE_TYPE_135
89797,DEVICE_TYPE_135
89798,DEVICE_TYPE_135
89799,DEVICE_TYPE_135
89800,DEVICE_TYPE_135
89801,DEVICE_TYPE_135
89802,DEVICE_TYPE_135
89803,DEVICE_TYPE_135
89804,DEVICE_TYPE_95
89805,DEVICE_TYPE_156
89806,DEVICE_TYPE_135
89807,DEVICE_TYPE_35
89808,DEVICE_TYPE_156
89809,DEVICE_TYPE_109
89810,DEVICE_TYPE_156
89811,DEVICE_TYPE_107
89812,DEVICE_TYPE_109
89813,DEVICE_TYPE_65
89814,DEVICE_TYPE_153
89815,DEVICE_TYPE_93
89816,DEVICE_TYPE_53
89817,DEVICE_TYPE_110
89817,DEVICE_TYPE_88
89818,DEVICE_TYPE_35
89819,DEVICE_TYPE_107
89819,DEVICE_TYPE_135
89820,DEVICE_TYPE_135
89821,DEVICE_TYPE_27
89822,DEVICE_TYPE_156
89823,DEVICE_TYPE_27
89824,DEVICE_TYPE_108
89825,DEVICE_TYPE_156
89826,DEVICE_TYPE_99
89827,DEVICE_TYPE_35
89828,DEVICE_TYPE_109
89829,DEVICE_TYPE_27
89830,DEVICE_TYPE_35
89830,DEVICE_TYPE_135
89831,DEVICE_TYPE_109
89831,DEVICE_TYPE_88
89832,DEVICE_TYPE_34
89833,DEVICE_TYPE_135
89834,DEVICE_TYPE_156
89835,DEVICE_TYPE_109
89836,DEVICE_TYPE_111
89837,DEVICE_TYPE_110
89838,DEVICE_TYPE_34
89839,DEVICE_TYPE_34
89840,DEVICE_TYPE_156
89841,DEVICE_TYPE_93
89842,DEVICE_TYPE_93
89843,DEVICE_TYPE_34
89844,DEVICE_TYPE_35
89845,DEVICE_TYPE_34
89846,DEVICE_TYPE_35
89847,DEVICE_TYPE_35
89848,DEVICE_TYPE_35
89849,DEVICE_TYPE_8
89850,DEVICE_TYPE_109
89851,DEVICE_TYPE_27
89851,DEVICE_TYPE_88
89852,DEVICE_TYPE_109
89853,DEVICE_TYPE_93
89854,DEVICE_TYPE_111
89854,DEVICE_TYPE_88
89855,DEVICE_TYPE_148
89856,DEVICE_TYPE_156
89857,DEVICE_TYPE_35
89858,DEVICE_TYPE_27
89858,DEVICE_TYPE_135
89859,DEVICE_TYPE_37
89860,DEVICE_TYPE_109
89860,DEVICE_TYPE_135
89861,DEVICE_TYPE_93
89861,DEVICE_TYPE_111
89862,DEVICE_TYPE_107
89863,DEVICE_TYPE_35
89864,DEVICE_TYPE_135
89865,DEVICE_TYPE_35
89866,DEVICE_TYPE_109
89866,DEVICE_TYPE_135
89867,DEVICE_TYPE_111
89868,DEVICE_TYPE_35
89869,DEVICE_TYPE_94
89869,DEVICE_TYPE_93
89869,DEVICE_TYPE_147
89870,DEVICE_TYPE_35
89870,DEVICE_TYPE_88
89871,DEVICE_TYPE_135
89872,DEVICE_TYPE_99
89872,DEVICE_TYPE_135
89873,DEVICE_TYPE_110
89874,DEVICE_TYPE_109
89875,DEVICE_TYPE_135
89876,DEVICE_TYPE_110
89877,DEVICE_TYPE_156
89878,DEVICE_TYPE_27
89879,DEVICE_TYPE_109
89880,DEVICE_TYPE_135
89881,DEVICE_TYPE_159
89882,DEVICE_TYPE_135
89883,DEVICE_TYPE_135
89884,DEVICE_TYPE_135
89885,DEVICE_TYPE_135
89886,DEVICE_TYPE_135
89887,DEVICE_TYPE_135
89888,DEVICE_TYPE_117
89889,DEVICE_TYPE_135
89890,DEVICE_TYPE_135
89891,DEVICE_TYPE_135
89892,DEVICE_TYPE_135
89893,DEVICE_TYPE_135
89894,DEVICE_TYPE_135
89895,DEVICE_TYPE_135
89896,DEVICE_TYPE_135
89897,DEVICE_TYPE_135
89898,DEVICE_TYPE_108
89899,DEVICE_TYPE_13
89899,DEVICE_TYPE_135
89900,DEVICE_TYPE_135
89901,DEVICE_TYPE_135
89902,DEVICE_TYPE_135
89903,DEVICE_TYPE_135
89904,DEVICE_TYPE_135
89905,DEVICE_TYPE_135
89906,DEVICE_TYPE_135
89907,DEVICE_TYPE_135
89908,DEVICE_TYPE_135
89909,DEVICE_TYPE_135
89910,DEVICE_TYPE_135
89911,DEVICE_TYPE_135
89912,DEVICE_TYPE_135
89913,DEVICE_TYPE_135
89914,DEVICE_TYPE_135
89915,DEVICE_TYPE_135
89916,DEVICE_TYPE_135
89917,DEVICE_TYPE_135
89918,DEVICE_TYPE_135
89919,DEVICE_TYPE_135
89920,DEVICE_TYPE_135
89921,DEVICE_TYPE_135
89922,DEVICE_TYPE_146
89923,DEVICE_TYPE_47
89924,DEVICE_TYPE_35
89924,DEVICE_TYPE_135
89925,DEVICE_TYPE_11
89926,DEVICE_TYPE_107
89927,DEVICE_TYPE_34
89927,DEVICE_TYPE_135
89928,DEVICE_TYPE_109
89929,DEVICE_TYPE_111
89930,DEVICE_TYPE_1
89931,DEVICE_TYPE_156
89932,DEVICE_TYPE_111
89932,DEVICE_TYPE_88
89933,DEVICE_TYPE_27
89933,DEVICE_TYPE_35
89934,DEVICE_TYPE_119
89935,DEVICE_TYPE_1
89936,DEVICE_TYPE_37
89937,DEVICE_TYPE_35
89938,DEVICE_TYPE_107
89939,DEVICE_TYPE_99
89940,DEVICE_TYPE_151
89941,DEVICE_TYPE_68
89942,DEVICE_TYPE_151
89943,DEVICE_TYPE_35
89944,DEVICE_TYPE_111
89944,DEVICE_TYPE_88
89945,DEVICE_TYPE_34
89946,DEVICE_TYPE_135
89947,DEVICE_TYPE_1
89948,DEVICE_TYPE_102
89948,DEVICE_TYPE_111
89949,DEVICE_TYPE_1
89950,DEVICE_TYPE_1
89951,DEVICE_TYPE_27
89951,DEVICE_TYPE_88
89952,DEVICE_TYPE_1
89953,DEVICE_TYPE_1
89954,DEVICE_TYPE_1
89955,DEVICE_TYPE_12
89955,DEVICE_TYPE_159
89956,DEVICE_TYPE_27
89957,DEVICE_TYPE_1
89958,DEVICE_TYPE_1
89959,DEVICE_TYPE_1
89960,DEVICE_TYPE_109
89961,DEVICE_TYPE_135
89962,DEVICE_TYPE_1
89963,DEVICE_TYPE_1
89964,DEVICE_TYPE_116
89965,DEVICE_TYPE_1
89966,DEVICE_TYPE_156
89967,DEVICE_TYPE_156
89968,DEVICE_TYPE_1
89969,DEVICE_TYPE_1
89970,DEVICE_TYPE_1
89971,DEVICE_TYPE_1
89972,DEVICE_TYPE_1
89973,DEVICE_TYPE_1
89974,DEVICE_TYPE_27
89975,DEVICE_TYPE_1
89976,DEVICE_TYPE_1
89977,DEVICE_TYPE_1
89978,DEVICE_TYPE_35
89979,DEVICE_TYPE_1
89980,DEVICE_TYPE_1
89981,DEVICE_TYPE_1
89982,DEVICE_TYPE_1
89983,DEVICE_TYPE_35
89984,DEVICE_TYPE_34
89985,DEVICE_TYPE_1
89986,DEVICE_TYPE_111
89987,DEVICE_TYPE_156
89987,DEVICE_TYPE_159
89988,DEVICE_TYPE_156
89989,DEVICE_TYPE_13
89989,DEVICE_TYPE_135
89990,DEVICE_TYPE_65
89991,DEVICE_TYPE_1
89992,DEVICE_TYPE_111
89993,DEVICE_TYPE_116
89994,DEVICE_TYPE_109
89995,DEVICE_TYPE_27
89996,DEVICE_TYPE_111
89997,DEVICE_TYPE_35
89998,DEVICE_TYPE_111
89999,DEVICE_TYPE_107
90000,DEVICE_TYPE_107
90001,DEVICE_TYPE_27
90002,DEVICE_TYPE_35
90003,DEVICE_TYPE_35
90004,DEVICE_TYPE_34
90005,DEVICE_TYPE_34
90006,DEVICE_TYPE_35
90007,DEVICE_TYPE_35
90008,DEVICE_TYPE_156
90008,DEVICE_TYPE_88
90009,DEVICE_TYPE_156
90010,DEVICE_TYPE_113
90011,DEVICE_TYPE_156
90012,DEVICE_TYPE_98
90013,DEVICE_TYPE_12
90013,DEVICE_TYPE_156
90013,DEVICE_TYPE_117
90014,DEVICE_TYPE_12
90014,DEVICE_TYPE_34
90015,DEVICE_TYPE_99
90016,DEVICE_TYPE_135
90017,DEVICE_TYPE_107
90018,DEVICE_TYPE_156
90019,DEVICE_TYPE_98
90020,DEVICE_TYPE_156
90021,DEVICE_TYPE_35
90022,DEVICE_TYPE_135
90023,DEVICE_TYPE_156
90024,DEVICE_TYPE_135
90025,DEVICE_TYPE_12
90026,DEVICE_TYPE_35
90027,DEVICE_TYPE_111
90028,DEVICE_TYPE_108
90029,DEVICE_TYPE_35
90030,DEVICE_TYPE_27
90031,DEVICE_TYPE_12
90031,DEVICE_TYPE_135
90032,DEVICE_TYPE_108
90033,DEVICE_TYPE_156
90033,DEVICE_TYPE_88
90034,DEVICE_TYPE_135
90035,DEVICE_TYPE_8
90036,DEVICE_TYPE_103
90037,DEVICE_TYPE_93
90038,DEVICE_TYPE_108
90039,DEVICE_TYPE_109
90040,DEVICE_TYPE_1
90041,DEVICE_TYPE_12
90041,DEVICE_TYPE_35
90042,DEVICE_TYPE_107
90043,DEVICE_TYPE_111
90044,DEVICE_TYPE_111
90045,DEVICE_TYPE_26
90046,DEVICE_TYPE_135
90047,DEVICE_TYPE_99
90048,DEVICE_TYPE_27
90049,DEVICE_TYPE_34
90050,DEVICE_TYPE_135
90051,DEVICE_TYPE_35
90052,DEVICE_TYPE_35
90053,DEVICE_TYPE_35
90054,DEVICE_TYPE_111
90055,DEVICE_TYPE_156
90056,DEVICE_TYPE_156
90057,DEVICE_TYPE_135
90058,DEVICE_TYPE_35
90059,DEVICE_TYPE_135
90060,DEVICE_TYPE_152
90061,DEVICE_TYPE_99
90062,DEVICE_TYPE_35
90063,DEVICE_TYPE_34
90064,DEVICE_TYPE_35
90065,DEVICE_TYPE_111
90066,DEVICE_TYPE_159
90067,DEVICE_TYPE_47
90068,DEVICE_TYPE_99
90069,DEVICE_TYPE_156
90070,DEVICE_TYPE_34
90071,DEVICE_TYPE_108
90071,DEVICE_TYPE_135
90072,DEVICE_TYPE_109
90073,DEVICE_TYPE_156
90074,DEVICE_TYPE_135
90075,DEVICE_TYPE_135
90076,DEVICE_TYPE_151
90077,DEVICE_TYPE_103
90078,DEVICE_TYPE_156
90079,DEVICE_TYPE_34
90079,DEVICE_TYPE_35
90079,DEVICE_TYPE_53
90080,DEVICE_TYPE_156
90081,DEVICE_TYPE_135
90082,DEVICE_TYPE_35
90083,DEVICE_TYPE_109
90084,DEVICE_TYPE_111
90084,DEVICE_TYPE_135
90085,DEVICE_TYPE_99
90086,DEVICE_TYPE_34
90087,DEVICE_TYPE_156
90088,DEVICE_TYPE_156
90089,DEVICE_TYPE_109
90090,DEVICE_TYPE_135
90091,DEVICE_TYPE_35
90091,DEVICE_TYPE_135
90092,DEVICE_TYPE_12
90092,DEVICE_TYPE_34
90093,DEVICE_TYPE_12
90093,DEVICE_TYPE_156
90094,DEVICE_TYPE_108
90095,DEVICE_TYPE_1
90096,DEVICE_TYPE_103
90097,DEVICE_TYPE_107
90098,DEVICE_TYPE_151
90099,DEVICE_TYPE_93
90100,DEVICE_TYPE_117
90101,DEVICE_TYPE_111
90102,DEVICE_TYPE_116
90103,DEVICE_TYPE_98
90104,DEVICE_TYPE_109
90105,DEVICE_TYPE_27
90106,DEVICE_TYPE_135
90107,DEVICE_TYPE_109
90108,DEVICE_TYPE_35
90109,DEVICE_TYPE_109
90110,DEVICE_TYPE_35
90111,DEVICE_TYPE_156
90111,DEVICE_TYPE_35
90111,DEVICE_TYPE_135
90112,DEVICE_TYPE_35
90112,DEVICE_TYPE_135
90113,DEVICE_TYPE_1
90113,DEVICE_TYPE_34
90114,DEVICE_TYPE_156
90115,DEVICE_TYPE_35
90116,DEVICE_TYPE_135
90117,DEVICE_TYPE_93
90118,DEVICE_TYPE_111
90119,DEVICE_TYPE_156
90120,DEVICE_TYPE_135
90121,DEVICE_TYPE_111
90122,DEVICE_TYPE_35
90123,DEVICE_TYPE_27
90124,DEVICE_TYPE_135
90125,DEVICE_TYPE_135
90126,DEVICE_TYPE_156
90127,DEVICE_TYPE_27
90128,DEVICE_TYPE_135
90129,DEVICE_TYPE_1
90130,DEVICE_TYPE_119
90131,DEVICE_TYPE_135
90132,DEVICE_TYPE_109
90133,DEVICE_TYPE_109
90134,DEVICE_TYPE_98
90135,DEVICE_TYPE_109
90136,DEVICE_TYPE_109
90137,DEVICE_TYPE_109
90138,DEVICE_TYPE_99
90139,DEVICE_TYPE_135
90140,DEVICE_TYPE_35
90141,DEVICE_TYPE_146
90142,DEVICE_TYPE_104
90143,DEVICE_TYPE_111
90144,DEVICE_TYPE_35
90145,DEVICE_TYPE_135
90146,DEVICE_TYPE_35
90147,DEVICE_TYPE_127
90148,DEVICE_TYPE_107
90149,DEVICE_TYPE_35
90150,DEVICE_TYPE_159
90151,DEVICE_TYPE_93
90152,DEVICE_TYPE_110
90153,DEVICE_TYPE_34
90154,DEVICE_TYPE_23
90155,DEVICE_TYPE_93
90156,DEVICE_TYPE_119
90157,DEVICE_TYPE_102
90158,DEVICE_TYPE_93
90159,DEVICE_TYPE_99
90160,DEVICE_TYPE_107
90161,DEVICE_TYPE_107
90162,DEVICE_TYPE_107
90163,DEVICE_TYPE_151
90164,DEVICE_TYPE_156
90165,DEVICE_TYPE_151
90166,DEVICE_TYPE_27
