pid,DTYPE
63605,DEVICE_TYPE_110
63606,DEVICE_TYPE_109
63607,DEVICE_TYPE_13
63608,DEVICE_TYPE_111
63609,DEVICE_TYPE_67
63610,DEVICE_TYPE_156
63611,DEVICE_TYPE_135
63612,DEVICE_TYPE_34
63613,DEVICE_TYPE_37
63614,DEVICE_TYPE_119
63615,DEVICE_TYPE_99
63616,DEVICE_TYPE_107
63617,DEVICE_TYPE_107
63618,DEVICE_TYPE_111
63619,DEVICE_TYPE_156
63620,DEVICE_TYPE_109
63621,DEVICE_TYPE_109
63622,DEVICE_TYPE_35
63623,DEVICE_TYPE_107
63624,DEVICE_TYPE_1
63625,DEVICE_TYPE_12
63626,DEVICE_TYPE_108
63627,DEVICE_TYPE_12
63627,DEVICE_TYPE_109
63628,DEVICE_TYPE_109
63629,DEVICE_TYPE_159
63630,DEVICE_TYPE_135
63631,DEVICE_TYPE_111
63632,DEVICE_TYPE_95
63633,DEVICE_TYPE_156
63633,DEVICE_TYPE_88
63634,DEVICE_TYPE_99
63635,DEVICE_TYPE_108
63635,DEVICE_TYPE_88
63636,DEVICE_TYPE_35
63637,DEVICE_TYPE_27
63638,DEVICE_TYPE_135
63639,DEVICE_TYPE_109
63640,DEVICE_TYPE_108
63641,DEVICE_TYPE_135
63642,DEVICE_TYPE_156
63642,DEVICE_TYPE_88
63643,DEVICE_TYPE_109
63644,DEVICE_TYPE_156
63644,DEVICE_TYPE_88
63645,DEVICE_TYPE_27
63646,DEVICE_TYPE_135
63647,DEVICE_TYPE_156
63648,DEVICE_TYPE_95
63649,DEVICE_TYPE_107
63650,DEVICE_TYPE_111
63651,DEVICE_TYPE_34
63652,DEVICE_TYPE_34
63653,DEVICE_TYPE_151
63654,DEVICE_TYPE_135
63655,DEVICE_TYPE_107
63656,DEVICE_TYPE_1
63657,DEVICE_TYPE_34
63658,DEVICE_TYPE_108
63659,DEVICE_TYPE_93
63660,DEVICE_TYPE_135
63661,DEVICE_TYPE_109
63662,DEVICE_TYPE_135
63663,DEVICE_TYPE_99
63664,DEVICE_TYPE_110
63664,DEVICE_TYPE_135
63665,DEVICE_TYPE_34
63666,DEVICE_TYPE_107
63667,DEVICE_TYPE_107
63667,DEVICE_TYPE_135
63668,DEVICE_TYPE_135
63669,DEVICE_TYPE_12
63669,DEVICE_TYPE_156
63669,DEVICE_TYPE_34
63669,DEVICE_TYPE_109
63670,DEVICE_TYPE_1
63671,DEVICE_TYPE_94
63672,DEVICE_TYPE_135
63673,DEVICE_TYPE_111
63674,DEVICE_TYPE_25
63675,DEVICE_TYPE_34
63676,DEVICE_TYPE_108
63677,DEVICE_TYPE_109
63678,DEVICE_TYPE_111
63679,DEVICE_TYPE_111
63680,DEVICE_TYPE_110
63681,DEVICE_TYPE_111
63682,DEVICE_TYPE_111
63683,DEVICE_TYPE_111
63684,DEVICE_TYPE_135
63685,DEVICE_TYPE_34
63686,DEVICE_TYPE_156
63687,DEVICE_TYPE_111
63688,DEVICE_TYPE_23
63689,DEVICE_TYPE_36
63690,DEVICE_TYPE_135
63691,DEVICE_TYPE_156
63692,DEVICE_TYPE_107
63692,DEVICE_TYPE_88
63693,DEVICE_TYPE_109
63694,DEVICE_TYPE_108
63695,DEVICE_TYPE_34
63696,DEVICE_TYPE_109
63697,DEVICE_TYPE_35
63698,DEVICE_TYPE_1
63699,DEVICE_TYPE_135
63699,DEVICE_TYPE_136
63700,DEVICE_TYPE_102
63701,DEVICE_TYPE_27
63701,DEVICE_TYPE_88
63702,DEVICE_TYPE_156
63703,DEVICE_TYPE_111
63704,DEVICE_TYPE_110
63705,DEVICE_TYPE_35
63706,DEVICE_TYPE_93
63707,DEVICE_TYPE_108
63708,DEVICE_TYPE_151
63709,DEVICE_TYPE_109
63710,DEVICE_TYPE_109
63711,DEVICE_TYPE_111
63712,DEVICE_TYPE_135
63713,DEVICE_TYPE_135
63714,DEVICE_TYPE_135
63715,DEVICE_TYPE_135
63716,DEVICE_TYPE_108
63717,DEVICE_TYPE_110
63717,DEVICE_TYPE_135
63718,DEVICE_TYPE_108
63719,DEVICE_TYPE_111
63720,DEVICE_TYPE_109
63721,DEVICE_TYPE_156
63722,DEVICE_TYPE_35
63723,DEVICE_TYPE_111
63723,DEVICE_TYPE_135
63724,DEVICE_TYPE_88
63724,DEVICE_TYPE_135
63725,DEVICE_TYPE_111
63725,DEVICE_TYPE_88
63726,DEVICE_TYPE_109
63727,DEVICE_TYPE_12
63727,DEVICE_TYPE_109
63727,DEVICE_TYPE_135
63728,DEVICE_TYPE_159
63729,DEVICE_TYPE_117
63730,DEVICE_TYPE_109
63731,DEVICE_TYPE_111
63731,DEVICE_TYPE_88
63732,DEVICE_TYPE_35
63732,DEVICE_TYPE_135
63733,DEVICE_TYPE_93
63734,DEVICE_TYPE_99
63735,DEVICE_TYPE_156
63736,DEVICE_TYPE_34
63737,DEVICE_TYPE_107
63738,DEVICE_TYPE_35
63739,DEVICE_TYPE_1
63740,DEVICE_TYPE_135
63741,DEVICE_TYPE_1
63742,DEVICE_TYPE_12
63743,DEVICE_TYPE_12
63743,DEVICE_TYPE_34
63743,DEVICE_TYPE_109
63744,DEVICE_TYPE_109
63745,DEVICE_TYPE_111
63746,DEVICE_TYPE_109
63746,DEVICE_TYPE_88
63747,DEVICE_TYPE_156
63748,DEVICE_TYPE_135
63749,DEVICE_TYPE_111
63750,DEVICE_TYPE_135
63751,DEVICE_TYPE_34
63752,DEVICE_TYPE_111
63753,DEVICE_TYPE_156
63754,DEVICE_TYPE_27
63755,DEVICE_TYPE_156
63756,DEVICE_TYPE_34
63757,DEVICE_TYPE_110
63757,DEVICE_TYPE_135
63758,DEVICE_TYPE_149
63759,DEVICE_TYPE_156
63760,DEVICE_TYPE_107
63761,DEVICE_TYPE_1
63762,DEVICE_TYPE_98
63763,DEVICE_TYPE_135
63764,DEVICE_TYPE_135
63765,DEVICE_TYPE_111
63766,DEVICE_TYPE_35
63767,DEVICE_TYPE_35
63768,DEVICE_TYPE_151
63769,DEVICE_TYPE_108
63770,DEVICE_TYPE_107
63771,DEVICE_TYPE_107
63772,DEVICE_TYPE_12
63772,DEVICE_TYPE_111
63773,DEVICE_TYPE_109
63773,DEVICE_TYPE_135
63774,DEVICE_TYPE_109
63774,DEVICE_TYPE_88
63775,DEVICE_TYPE_107
63776,DEVICE_TYPE_111
63776,DEVICE_TYPE_88
63777,DEVICE_TYPE_109
63778,DEVICE_TYPE_99
63779,DEVICE_TYPE_107
63780,DEVICE_TYPE_109
63781,DEVICE_TYPE_35
63782,DEVICE_TYPE_99
63783,DEVICE_TYPE_1
63784,DEVICE_TYPE_135
63785,DEVICE_TYPE_109
63786,DEVICE_TYPE_35
63786,DEVICE_TYPE_88
63786,DEVICE_TYPE_135
63787,DEVICE_TYPE_93
63788,DEVICE_TYPE_27
63789,DEVICE_TYPE_109
63790,DEVICE_TYPE_111
63791,DEVICE_TYPE_98
63792,DEVICE_TYPE_94
63792,DEVICE_TYPE_96
63793,DEVICE_TYPE_135
63794,DEVICE_TYPE_135
63794,DEVICE_TYPE_151
63795,DEVICE_TYPE_108
63796,DEVICE_TYPE_35
63797,DEVICE_TYPE_34
63798,DEVICE_TYPE_111
63799,DEVICE_TYPE_35
63800,DEVICE_TYPE_135
63801,DEVICE_TYPE_27
63802,DEVICE_TYPE_108
63803,DEVICE_TYPE_98
63804,DEVICE_TYPE_135
63805,DEVICE_TYPE_98
63806,DEVICE_TYPE_27
63807,DEVICE_TYPE_135
63808,DEVICE_TYPE_34
63809,DEVICE_TYPE_35
63810,DEVICE_TYPE_109
63811,DEVICE_TYPE_135
63812,DEVICE_TYPE_111
63813,DEVICE_TYPE_34
63813,DEVICE_TYPE_35
63814,DEVICE_TYPE_1
63815,DEVICE_TYPE_12
63815,DEVICE_TYPE_27
63816,DEVICE_TYPE_135
63817,DEVICE_TYPE_111
63818,DEVICE_TYPE_111
63819,DEVICE_TYPE_156
63820,DEVICE_TYPE_27
63820,DEVICE_TYPE_88
63821,DEVICE_TYPE_105
63822,DEVICE_TYPE_34
63823,DEVICE_TYPE_35
63824,DEVICE_TYPE_108
63825,DEVICE_TYPE_109
63826,DEVICE_TYPE_12
63826,DEVICE_TYPE_110
63827,DEVICE_TYPE_93
63828,DEVICE_TYPE_99
63829,DEVICE_TYPE_103
63830,DEVICE_TYPE_111
63831,DEVICE_TYPE_111
63832,DEVICE_TYPE_109
63833,DEVICE_TYPE_103
63834,DEVICE_TYPE_111
63835,DEVICE_TYPE_107
63836,DEVICE_TYPE_13
63837,DEVICE_TYPE_35
63838,DEVICE_TYPE_135
63839,DEVICE_TYPE_156
63840,DEVICE_TYPE_112
63841,DEVICE_TYPE_111
63842,DEVICE_TYPE_111
63843,DEVICE_TYPE_111
63844,DEVICE_TYPE_61
63844,DEVICE_TYPE_62
63844,DEVICE_TYPE_63
63844,DEVICE_TYPE_64
63845,DEVICE_TYPE_135
63846,DEVICE_TYPE_107
